id,atua_como_po,tempo_experiencia,tipo_empresa,q18_areas_desenvolvimento,q19_formato_apoio,q20_nivel_jornada,comentario,knowledge_score,challenge_score,trilha,data_resposta,created_at
ANON_ID_1,sim_oficial,mais_2a,Porto seguro ,"[""Comunicação e influência com stakeholders"",""Liderança e soft skills"",""Estratégia e visão de produto""]",mentoria_individual,Avançado,"Atuei como Product Owner Sênior com mais de 8 anos de experiência em gestão de produtos digitais, atuando em projetos estratégicos que uniram eficiência operacional, inovação tecnológica e alto impacto financeiro. Tenho sólida vivência em metodologias ágeis (Scrum, Kanban), com foco em priorização orientada a valor, discovery e integração entre áreas de negócio, tecnologia e stakeholders executivos.
Atuei em projetos que transformaram a operação de grandes empresas, como migração de sistemas legados, implementação de APIs, automatização em massa, aderência à LGPD e redução de prazos de processos críticos, com ROI comprovado.
Também acumulo experiências em análise de dados com SQL, gestão por OKRs/KPIs e documentação executiva.
Sou certificado PSPO I (Scrum.org), Lean Six Sigma Master Black Belt, com formação em Administração, pós graduado em Gestão de Projetos e cursando uma segunda graduação de Tecnologia em Seguros.
Atualmente, busco novos desafios contribuindo com visão estratégica, foco em resultados e liderança colaborativa.",4.43,4.33,Avançado,2025-10-10T14:38:51Z,2025-10-10T14:38:51Z
ANON_ID_2,sim_oficial,mais_2a,"Startup, Governamental e Consultoria","[""Liderança e soft skills""]",workshops,Avançado,NA,4.57,4.33,Avançado,2025-10-10T14:43:08Z,2025-10-10T14:43:08Z
ANON_ID_3,transição,menos_6m,Startup e b2b,"[""Priorização e backlog"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto"",""Transição de carreira para PO"",""Liderança e soft skills"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",mentoria_individual,Iniciante,NA,2.86,3.67,Iniciante,2025-10-10T14:52:10Z,2025-10-10T14:52:10Z
ANON_ID_4,sim_oficial,mais_2a,Startup,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Liderança e soft skills""]",materiais,Avançado,NA,4.71,4.67,Avançado,2025-10-10T15:04:19Z,2025-10-10T15:04:19Z
ANON_ID_5,sim_oficial,mais_2a,"Erp, e-commerce","[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Liderança e soft skills""]",mentoria_individual,Avançado,NA,5,5,Avançado,2025-10-10T15:16:16Z,2025-10-10T15:16:16Z
ANON_ID_6,sim_parcial,mais_2a,"Edtech, Varejo, B2b, Telecom, Fintech","[""Estratégia e visão de produto"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Liderança 
e soft skills"",""Comunicação e influência com stakeholders""]",mentoria_individual,Avançado,NA,4.43,4.17,Avançado,2025-10-10T15:30:35Z,2025-10-10T15:30:35Z
ANON_ID_7,sim_oficial,1a_2a,Startup,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",workshops,Intermediário,NA,3.71,3.67,Avançado,2025-10-10T15:33:49Z,2025-10-10T15:33:49Z
ANON_ID_8,sim_parcial,menos_6m,Startup.,"[""Priorização e backlog"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",workshops,Intermediário,NA,3,2.83,Intermediário,2025-10-10T15:35:36Z,2025-10-10T15:35:36Z
ANON_ID_9,sim_parcial,mais_2a,NA,"[""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",materiais,Avançado,NA,4.29,4.33,Avançado,2025-10-10T15:36:26Z,2025-10-10T15:36:26Z
ANON_ID_10,sim_oficial,mais_2a,"B2B, Ecommerce, Farmaceutica","[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto"",""Liderança e soft skills""]",mentoria_grupo,Avançado,NA,4.86,4.67,Avançado,2025-10-10T16:29:52Z,2025-10-10T16:29:52Z
ANON_ID_11,transição,1a_2a,B2B,"[""Estratégia e visão de produto"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Priorização e backlog"",""Roadmap e planejamento de portfólio"",""Transição de 
carreira para PO""]",mentoria_grupo,Intermediário,NA,3.71,3.5,Iniciante,2025-10-10T16:39:41Z,2025-10-10T16:39:41Z
ANON_ID_12,sim_parcial,mais_2a,Empresas de TI,"[""Roadmap e planejamento de portfólio"",""Transição de carreira para PO"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",mentoria_grupo,Avançado,NA,4,4.33,Avançado,2025-10-10T17:10:01Z,2025-10-10T17:10:01Z
ANON_ID_13,sim_parcial,6m_1a,"Atuo hoje na MSB, é uma meta atuar em alguma consultoria ou algum banco digital.","[""Priorização e backlog"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio""]",cases,Intermediário,NA,3.71,4.33,Avançado,2025-10-10T17:16:01Z,2025-10-10T17:16:01Z
ANON_ID_14,sim_oficial,mais_2a,"Atuo com criação de soluções em IA, Machine Learning e Low Code, em parceria Google para o B2G Brasil","[""Estratégia e visão de produto""]",cases,Intermediário,NA,4.29,4.17,Avançado,2025-10-10T18:28:59Z,2025-10-10T18:28:59Z
ANON_ID_15,sim_parcial,mais_2a,Core banking,"[""Roadmap e planejamento de portfólio"",""Comunicação e influência com stakeholders""]",cases,Intermediário,NA,4.43,4.67,Avançado,2025-10-10T19:48:39Z,2025-10-10T19:48:39Z
ANON_ID_16,sim_parcial,mais_2a,"Produtos bancários, financeiros. Transformação digital.","[""Estratégia e visão de produto"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",workshops,Intermediário,"Já atuei como analista funcional, de requisitos e SM.Nesse último papel, costumava atuar junto ao PO, auxiliando nas escritas das histórias e refinamento delas.",3.86,4.17,Avançado,2025-10-10T20:49:04Z,2025-10-10T20:49:04Z
ANON_ID_17,sim_oficial,mais_2a,Tecnologia,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Priorização e backlog"",""Estratégia e visão de produto"",""Comunicação e influência com stakeholders"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Liderança e soft skills""]",workshops,Intermediário,NA,2.29,2.83,Iniciante,2025-10-11T13:16:34Z,2025-10-11T13:16:34Z
ANON_ID_18,transição,menos_6m,"B2b, Banco, Tecnologia","[""Transição de carreira para PO""]",cases,Iniciante,NA,3.29,3.17,Iniciante,2025-10-11T13:39:51Z,2025-10-11T13:39:51Z
ANON_ID_19,sim_oficial,mais_2a,Energia Solar,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Liderança e soft skills""]",workshops,Intermediário,NA,3.29,3.17,Intermediário,2025-10-11T14:26:26Z,2025-10-11T14:26:26Z
ANON_ID_20,sim_oficial,mais_2a,startup,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)""]",cases,Avançado,NA,4.57,3.83,Avançado,2025-10-11T17:51:21Z,2025-10-11T17:51:21Z
ANON_ID_21,transição,menos_6m,Empresa de médio ou pequeno porte.,"[""Estratégia e visão de produto"",""Comunicação e influência com stakeholders"",""Roadmap e planejamento de portfólio"",""Transição de carreira para PO"",""Liderança e soft skills""]",workshops,Iniciante,NA,1.43,1.33,Iniciante,2025-10-11T20:12:14Z,2025-10-11T20:12:14Z
ANON_ID_22,interesse,menos_6m,Qualquer produto que gere valor e que eu possa me aperfeiçoar como PO,"[""Estratégia e visão de produto"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",workshops,Iniciante,NA,1.57,1.83,Iniciante,2025-10-11T22:32:46Z,2025-10-11T22:32:46Z
ANON_ID_23,sim_parcial,mais_2a,B2C e desejo ir p bancos,"[""Estratégia e visão de produto"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",workshops,Intermediário,NA,2.71,2.5,Intermediário,2025-10-11T22:45:49Z,2025-10-11T22:45:49Z
ANON_ID_24,sim_oficial,mais_2a,Consultoria de TI,"[""Roadmap 
e planejamento de portfólio""]",workshops,Intermediário,NA,4.71,4.67,Avançado,2025-10-12T02:41:15Z,2025-10-12T02:41:15Z
ANON_ID_25,sim_oficial,6m_1a,Automação de processos que atendem a área de contabilidade ,"[""Estratégia e visão de produto""]",workshops,Intermediário,NA,2.57,2.67,Intermediário,2025-10-14T10:19:44Z,2025-10-14T10:19:44Z
ANON_ID_26,sim_oficial,1a_2a,Mercado financeiro,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto"",""Liderança e soft skills"",""Roadmap e planejamento de portfólio""]",mentoria_grupo,Intermediário,NA,3.86,3.83,Avançado,2025-10-14T10:36:08Z,2025-10-14T10:36:08Z
ANON_ID_27,sim_oficial,1a_2a,Fintech ,"[""Priorização e backlog"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Roadmap e planejamento de portfólio"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",mentoria_individual,Intermediário,NA,3.29,3.5,Intermediário,2025-10-14T10:39:42Z,2025-10-14T10:39:42Z
ANON_ID_28,transição,mais_2a,Fintechs ou Healthtechs,"[""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)""]",workshops,Avançado,NA,4.86,4.17,Iniciante,2025-10-14T10:44:47Z,2025-10-14T10:44:47Z
ANON_ID_29,interesse,menos_6m,Empresas de tecnologia,"[""Estratégia e visão de produto"",""Métricas e resultados (OKRs, 
etc.)"",""Roadmap e planejamento de portfólio""]",workshops,Iniciante,NA,3,3,Intermediário,2025-10-14T11:19:55Z,2025-10-14T11:19:55Z
ANON_ID_30,sim_oficial,mais_2a,B2B,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio"",""Liderança e soft skills""]",cases,Intermediário,NA,2.71,3.67,Avançado,2025-10-14T11:25:41Z,2025-10-14T11:25:41Z
ANON_ID_31,sim_oficial,mais_2a,Startup ,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Priorização e backlog"",""Roadmap e planejamento de portfólio"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)""]",mentoria_grupo,Intermediário,NA,3.29,3,Intermediário,2025-10-14T11:32:41Z,2025-10-14T11:32:41Z
ANON_ID_32,interesse,menos_6m,NA,"[""Priorização e backlog"",""Transição de carreira para PO"",""Liderança e soft skills"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Roadmap e planejamento de portfólio"",""Comunicação e influência com stakeholders"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",workshops,Iniciante,NA,2.14,2.17,Iniciante,2025-10-14T18:40:57Z,2025-10-14T18:40:57Z
