id,q18_areas_desenvolvimento
ANON_ID_1,Comunicação e influência com stakeholders
ANON_ID_1,Liderança e soft skills
ANON_ID_1,Estratégia e visão de produto
ANON_ID_2,Liderança e soft skills
ANON_ID_3,Priorização e backlog
ANON_ID_3,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_3,Estratégia e visão de produto
ANON_ID_3,Transição de carreira para PO
ANON_ID_3,Liderança e soft skills
ANON_ID_3,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_4,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_4,Liderança e soft skills
ANON_ID_5,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_5,Liderança e soft skills
ANON_ID_6,Estratégia e visão de produto
ANON_ID_6,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_6,"Liderança 
e soft skills"
ANON_ID_6,Comunicação e influência com stakeholders
ANON_ID_7,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_7,Estratégia e visão de produto
ANON_ID_7,Roadmap e planejamento de portfólio
ANON_ID_7,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_8,Priorização e backlog
ANON_ID_8,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_8,Estratégia e visão de produto
ANON_ID_9,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_10,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_10,Estratégia e visão de produto
ANON_ID_10,Liderança e soft skills
ANON_ID_11,Estratégia e visão de produto
ANON_ID_11,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_11,Priorização e backlog
ANON_ID_11,Roadmap e planejamento de portfólio
ANON_ID_11,"Transição de 
carreira para PO"
ANON_ID_12,Roadmap e planejamento de portfólio
ANON_ID_12,Transição de carreira para PO
ANON_ID_12,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_12,Estratégia e visão de produto
ANON_ID_13,Priorização e backlog
ANON_ID_13,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_13,Roadmap e planejamento de portfólio
ANON_ID_14,Estratégia e visão de produto
ANON_ID_15,Roadmap e planejamento de portfólio
ANON_ID_15,Comunicação e influência com stakeholders
ANON_ID_16,Estratégia e visão de produto
ANON_ID_16,Roadmap e planejamento de portfólio
ANON_ID_16,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_17,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_17,Priorização e backlog
ANON_ID_17,Estratégia e visão de produto
ANON_ID_17,Comunicação e influência com stakeholders
ANON_ID_17,Roadmap e planejamento de portfólio
ANON_ID_17,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_17,Liderança e soft skills
ANON_ID_18,Transição de carreira para PO
ANON_ID_19,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_19,Roadmap e planejamento de portfólio
ANON_ID_19,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_19,Liderança e soft skills
ANON_ID_20,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_21,Estratégia e visão de produto
ANON_ID_21,Comunicação e influência com stakeholders
ANON_ID_21,Roadmap e planejamento de portfólio
ANON_ID_21,Transição de carreira para PO
ANON_ID_21,Liderança e soft skills
ANON_ID_22,Estratégia e visão de produto
ANON_ID_22,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_22,Roadmap e planejamento de portfólio
